当前月,浏览量,访客数,下单金额,客单价,店铺成交转化率
2016-03,182396,80160,104804,110.55274261603375,0.011826347305389222
2016-04,100165,46275,56593,106.98109640831758,0.011431658562938951
2015-06,124096,63732,82322,116.76879432624114,0.011061946902654867
2015-07,111793,58743,70738,115.77414075286416,0.010401239296597042
2015-08,100246,55248,60955,112.04963235294117,0.009846510280915146
2015-09,112262,58278,72767,112.12172573189522,0.011136277840694602
2015-10,114473,56154,71241,120.54314720812182,0.010524628699647398
2015-11,107128,50829,71816,130.33756805807622,0.010840268350744654
2015-12,85305,35779,55916,136.71393643031786,0.011431286508845971
2016-01,85200,37460,57155,120.58016877637131,0.012653497063534436
2016-02,83255,39408,59079,118.87122736418512,0.01261165245635404