当前月,商品名称,下单金额
2016-03,卡佰依橱【货到付款】春秋装新款蕾丝拼接桑蚕丝雪纺上衣修身真丝长袖衬衫女打底衬衣女 103,2571
2016-03,卡佰依橱 2015春秋装款潮镂空大码打底衫女长袖蕾丝上衣网纱t恤 610,2009
2016-03,卡佰依橱【货到付款】 2014秋季新款韩版时尚修身显瘦低腰连帽运动女装卫衣休闲套装 701,1913
2016-04,卡佰依橱  2015春秋新款韩版防水台粗跟时尚伴娘婚鞋性感夜店鱼嘴高跟单鞋女 555-1,2277
2016-04,卡佰依橱【货到付款】春秋装新款蕾丝拼接桑蚕丝雪纺上衣修身  长袖衬衫女打底衬衣女 103,1592
2016-04,卡佰依橱 2016春秋装款潮镂空大码打底衫女长袖蕾丝上衣网纱t恤 610,1575
2015-06,卡佰依橱  2015春秋新款韩版防水台粗跟时尚伴娘婚鞋性感夜店鱼嘴高跟单鞋女 555-1,8286
2015-06,618夏装 惠 卡佰依橱 货到付款 2014夏季新款女装职业短袖雪纺七分裤气质淑女休闲套装,3536
2015-06,卡佰依橱  2015春秋新款简约公主绒面圆头防水台性感细跟超高跟鞋纯色百搭单鞋女 A518,3105
2015-07,卡佰依橱  2015春秋新款韩版防水台粗跟时尚伴娘婚鞋性感夜店鱼嘴高跟单鞋女 555-1,5930
2015-07,卡佰依橱 2015夏季露肩女士网球裙女装运动服裤裙套装短袖短裙休闲套装 6648,2880
2015-07,卡佰依橱 2015夏季新款透明水晶鞋塑料凉鞋沙滩女鞋蕾丝大花朵果冻凉鞋 A012,2408
2015-08,卡佰依橱  2015春秋新款韩版防水台粗跟时尚伴娘婚鞋性感夜店鱼嘴高跟单鞋女 555-1,4554
2015-08,卡佰依橱 2015春秋韩版皇冠刺绣女帆布鞋百搭低帮鞋休闲运动单鞋 k051,2848
2015-08,卡佰依橱 2015夏季新款透明水晶鞋塑料凉鞋沙滩女鞋蕾丝大花朵果冻凉鞋 A012,2336
2015-09,卡佰依橱  2015春秋新款简约公主绒面圆头防水台性感细跟超高跟鞋纯色百搭单鞋女 A518,3382
2015-09,卡佰依橱  2015春秋新款韩版防水台粗跟时尚伴娘婚鞋性感夜店鱼嘴高跟单鞋女 555-1,1980
2015-09,卡佰依橱 2015春秋韩版皇冠刺绣女帆布鞋百搭低帮鞋休闲运动单鞋 k051,1246
2015-10,卡佰依橱 2015秋冬新款女鞋欧美时尚通勤长靴高跟防水台性感细跟流苏短靴 966-8,3576
2015-10,卡佰依橱 2015秋冬季杉杉来了赵丽颖同款格子斗篷毛领女毛呢大衣外套 HM1756,2989
2015-10,卡佰依橱 2015春秋装款修身韩版纱衣玫瑰花高领网纱打底衫女长袖t恤 601,2393
2015-11,卡佰依橱 2015秋冬新款女鞋欧美时尚通勤长靴高跟防水台性感细跟流苏短靴 966-8,4947
2015-11,卡佰依橱 2015冬季女毛毛平跟单鞋保暖加绒豆豆鞋低帮妈妈鞋孕妇鞋 3218-12 ,2362
2015-11,卡佰依橱 2015秋冬季杉杉来了    同款格子斗篷毛领女毛呢大衣外套 HM1756,1990
2015-12,卡佰依橱 2015秋冬新款女鞋欧美时尚通勤长靴高跟防水台性感细跟流苏短靴 966-8,3149
2015-12,卡佰依橱 2015秋冬新款欧美气质纯色圆头坡跟时尚防水条恨天高夜店百搭女靴 T555-2A,1685
2015-12,卡佰依橱 2015春秋装款修身韩版纱衣玫瑰花高领网纱打底衫女长袖t恤 601,1444
2016-01,卡佰依橱 2015春秋装款修身韩版纱衣玫瑰花高领网纱打底衫女长袖t恤 601,2489
2016-01,卡佰依橱 2015冬季女毛毛平跟单鞋保暖加绒豆豆鞋低帮妈妈鞋孕妇鞋 3218-12 ,1946
2016-01,卡佰依橱 2015秋冬季杉杉来了    同款格子斗篷毛领女毛呢大衣外套 HM1756,1393
2016-02,卡佰依橱【货到付款】春秋装新款蕾丝拼接桑蚕丝雪纺上衣修身真丝长袖衬衫女打底衬衣女 103,1592
2016-02,卡佰依橱【货到付款】春夏季新款情侣装韩版修身显瘦气质长袖女装情侣衬衫雪纺衬衣大码女 911,1076
2016-02,卡佰依橱 2015秋冬新款女鞋欧美时尚通勤长靴高跟防水台性感细跟流苏短靴 966-8,1043